연도,월,수입_총박스,수입_40ft박스,수입_40ft비중_pct,수출_총박스,수출_40ft박스,수출_40ft비중_pct,격차_pp,성립,저볼륨
2022,1,1932,1162,60.1449,54321,28404,52.2892,7.8558,O,
2022,2,1315,601,45.7034,32340,17449,53.9549,-8.2514,X,
2022,3,2041,1064,52.1313,37065,19651,53.0177,-0.8864,X,
2022,4,1233,929,75.3447,35797,16756,46.8084,28.5363,O,
2022,5,1024,392,38.2812,46203,22769,49.2803,-10.9991,X,
2022,6,1976,1126,56.9838,42841,21016,49.0558,7.9280,O,
2022,7,1049,213,20.3051,53922,26405,48.9689,-28.6638,X,
2022,8,613,310,50.5710,49824,27661,55.5174,-4.9465,X,저볼륨
2022,9,1118,371,33.1843,42835,22208,51.8455,-18.6612,X,
2022,10,1758,1008,57.3379,46625,24232,51.9721,5.3658,O,
2022,11,2271,1840,81.0216,43748,21637,49.4583,31.5633,O,
2022,12,2398,1916,79.8999,45089,21793,48.3333,31.5666,O,
2023,1,4697,3404,72.4718,47464,23670,49.8694,22.6024,O,
2023,2,4731,3392,71.6973,37387,19658,52.5798,19.1175,O,
2023,3,6950,5114,73.5827,45718,23717,51.8767,21.7060,O,
2023,4,6593,5084,77.1121,45878,24030,52.3780,24.7340,O,
2023,5,5494,4711,85.7481,45441,22261,48.9888,36.7593,O,
2023,6,6457,5281,81.7872,45533,21895,48.0860,33.7012,O,
2023,7,5232,4526,86.5061,46473,24081,51.8172,34.6889,O,
2023,8,5651,4941,87.4359,45120,23520,52.1277,35.3082,O,
2023,9,6311,5711,90.4928,49571,26376,53.2085,37.2843,O,
2023,10,7119,6536,91.8106,46666,24170,51.7936,40.0171,O,
2023,11,7270,6692,92.0495,49547,26388,53.2585,38.7910,O,
2023,12,10043,9412,93.7170,48171,26078,54.1363,39.5807,O,
2024,1,4322,3953,91.4623,55060,29932,54.3625,37.0998,O,
2024,2,8422,7748,91.9972,43671,24166,55.3365,36.6607,O,
2024,3,8533,7184,84.1908,43066,24008,55.7470,28.4438,O,
2024,4,7428,6547,88.1395,48421,23960,49.4827,38.6568,O,
2024,5,6025,5651,93.7925,48755,25229,51.7465,42.0460,O,
2024,6,4082,3609,88.4125,50273,25790,51.2999,37.1126,O,
2024,7,3048,2563,84.0879,49713,26811,53.9316,30.1564,O,
2024,8,3978,3645,91.6290,51811,27728,53.5176,38.1114,O,
2024,9,5135,4883,95.0925,46277,24163,52.2138,42.8787,O,
2024,10,3851,3593,93.3004,48602,26602,54.7344,38.5661,O,
2024,11,2789,2745,98.4224,48182,25802,53.5511,44.8713,O,
2024,12,4703,4555,96.8531,54380,28439,52.2968,44.5563,O,
2025,1,5354,5079,94.8637,50162,26338,52.5059,42.3578,O,
2025,2,5038,4707,93.4299,32626,18153,55.6397,37.7903,O,
2025,3,7849,7217,91.9480,39382,20593,52.2904,39.6576,O,
2025,4,8133,7726,94.9957,46292,23439,50.6329,44.3628,O,
2025,5,6769,6442,95.1692,45440,22509,49.5357,45.6335,O,
2025,6,4343,3896,89.7076,44988,21987,48.8730,40.8345,O,
2025,7,5635,4816,85.4658,44104,22591,51.2221,34.2437,O,
2025,8,6420,5594,87.1340,49587,25832,52.0943,35.0397,O,
2025,9,6834,6331,92.6397,45055,23970,53.2016,39.4381,O,
2025,10,5381,4821,89.5930,44573,24104,54.0776,35.5154,O,
2025,11,5171,4431,85.6894,51009,27566,54.0414,31.6480,O,
2025,12,5995,5403,90.1251,49238,27386,55.6196,34.5055,O,
